,id,name,ancestry,store_section_id,section,clean_name
0,1043,Radis noir,2/85/92,1,Fruits & Légumes,radis noir
1,46,Eau de coco,1/3/7,8,Boissons,eau coco
2,51,Spiritueux,1/4,8,Boissons,spiritueux
3,45,Jus d'agrumes,1/3/7,8,Boissons,jus agrumes
4,36,Jus d'orange,1/3/7,8,Boissons,jus orange
5,48,Vin,1/4,8,Boissons,vin
6,50,Cidre,1/4,8,Boissons,cidre
7,9,Soda,1/3,8,Boissons,soda
8,27,Soda aux fruits,1/3/9,8,Boissons,soda aux fruit
9,87,Légumes à bulbe,2/85,1,Fruits & Légumes,legume bulbe
10,89,Légumes feuilles,2/85,1,Fruits & Légumes,legume feuille
11,88,Légumes fleurs,2/85,1,Fruits & Légumes,legume fleur
12,90,Légumes fruits,2/85,1,Fruits & Légumes,legume fruit
13,92,Légumes racines,2/85,1,Fruits & Légumes,legume racine
14,91,Légumes tiges,2/85,1,Fruits & Légumes,legume tige
15,21,Boisson au riz,1/3/8,8,Boissons,boisson riz
16,153,Pomme de terre,2/85/92,1,Fruits & Légumes,pomme terre
17,43,Jus de fruits exotiques,1/3/7,8,Boissons,jus fruit exotiques
18,39,Jus de légumes,1/3/7,8,Boissons,jus legume
19,10,Boissons aux fruits,1/3,8,Boissons,boisson aux fruit
20,38,Jus de pomme,1/3/7,8,Boissons,jus pomme
21,11,Eau plate,1/3/5,8,Boissons,eau plate
22,12,Eau gazeuse,1/3/5,8,Boissons,eau gazeuse
23,13,Eau aromatisée,1/3/5,8,Boissons,eau aromatisee
24,100,Céleri,2/85/91,1,Fruits & Légumes,celeri
25,443,Pommes noisettes,2/85/433,4,Surgelés,pomme noisette
26,75,Whisky,1/4/51,8,Boissons,whisky
27,40,Jus de raisin,1/3/7,8,Boissons,jus raisin
28,17,Lait d'amande,1/3/8,8,Boissons,lait amande
29,42,Jus de superfruits,1/3/7,8,Boissons,jus superfruits
30,71,Cidre framboise,1/4/50,8,Boissons,cidre framboise
31,19,Boisson au soja,1/3/8,8,Boissons,boisson soja
32,22,Boisson coco,1/3/8,8,Boissons,boisson coco
33,23,Boisson à l'épeautre,1/3/8,8,Boissons,boisson epeautre
34,24,Cola,1/3/9,8,Boissons,cola
35,25,Limonade,1/3/9,8,Boissons,limonade
36,26,Tonic,1/3/9,8,Boissons,tonic
37,31,Pocket enfant,1/3/10,8,Boissons,pocket enfant
38,41,Jus multivitaminés,1/3/7,8,Boissons,jus multivitamines
39,34,Boisson aux fruits,1/3/10,8,Boissons,boisson aux fruit
40,877,Surimi,275/278/361,5,Viandes & Poissons,surimi
41,35,Lait végétal,1/3/8,8,Boissons,lait vegetal
42,47,Smoothie,1/3/7,8,Boissons,smoothie
43,1,Boissons,,8,Boissons,boisson
44,52,Vin rouge,1/4/48,8,Boissons,vin rouge
45,53,Vin blanc,1/4/48,8,Boissons,vin blanc
46,55,Vin orange,1/4/48,8,Boissons,vin orange
47,59,Bière blonde,1/4/49,8,Boissons,biere blonde
48,60,Bière blanche,1/4/49,8,Boissons,biere blanche
49,61,Bière ambrée,1/4/49,8,Boissons,biere ambree
50,62,Bière brune,1/4/49,8,Boissons,biere brune
51,63,Bière d'Abbaye,1/4/49,8,Boissons,biere abbaye
52,64,Bière sans alcool,1/4/49,8,Boissons,biere sans alcool
53,65,Bière aromatisée,1/4/49,8,Boissons,biere aromatisee
54,67,Bière sans gluten,1/4/49,8,Boissons,biere sans gluten
55,69,Cidre de poire,1/4/50,8,Boissons,cidre poire
56,68,Cidre doux,1/4/50,8,Boissons,cidre doux
57,73,Cidre fruits rouges,1/4/50,8,Boissons,cidre fruit rouge
58,82,Cocktail sans alcool,1/4/51,8,Boissons,cocktail sans alcool
59,83,Pineau des Charentes,1/4/51,8,Boissons,pineau des charentes
60,79,Téquila,1/4/51,8,Boissons,tequila
61,56,Champagne,1/4/48,8,Boissons,champagne
62,30,Citronnade,1/3/10,8,Boissons,citronnade
63,81,Cocktail,1/4/51,8,Boissons,cocktail
64,80,Liqueur,1/4/51,8,Boissons,liqueur
65,84,Porto,1/4/51,8,Boissons,porto
66,66,Panaché,1/4/49,8,Boissons,panache
67,29,Sirop,1/3/10,8,Boissons,sirop
68,28,Thé glacé,1/3/10,8,Boissons,the glace
69,985,Salade de fruits,436/517,3,Frais,salade fruit
70,1025,Farine de sarrasin,436/538/535,7,Épicerie sucrée,farine sarrasin
71,127,Brocoli,2/85/88,1,Fruits & Légumes,brocoli
72,162,Herbes,280,6,Épicerie salée,herbe
73,128,Chou-fleur,2/85/88,1,Fruits & Légumes,chou fleur
74,126,Artichaut,2/85/88,1,Fruits & Légumes,artichaut
75,129,Chou romanesco,2/85/88,1,Fruits & Légumes,chou romanesco
76,131,Aubergine,2/85/90,1,Fruits & Légumes,aubergine
77,173,Pois gourmand,437/93,6,Épicerie salée,pois gourmand
78,94,Algues,2/85,1,Fruits & Légumes,algue
79,137,Avocat,2/85/90,1,Fruits & Légumes,avocat
80,132,Concombre,2/85/90,1,Fruits & Légumes,concombre
81,133,Courge,2/85/90,1,Fruits & Légumes,courge
82,160,Butternut,2/85/90/133,1,Fruits & Légumes,butternut
83,168,Pâtisson,2/85/90/133,1,Fruits & Légumes,patisson
84,140,Potimarron,2/85/90/133,1,Fruits & Légumes,potimarron
85,139,Potiron,2/85/90/133,1,Fruits & Légumes,potiron
86,134,Courgette,2/85/90,1,Fruits & Légumes,courgette
87,158,Haricots verts,2/85/90,1,Fruits & Légumes,haricot vert
88,109,Chou rave,2/85/91,1,Fruits & Légumes,chou rave
89,181,Haricots beurre,2/85/90/158,1,Fruits & Légumes,haricot beurre
90,143,Maïs,2/85/90,1,Fruits & Légumes,mais
91,135,Poivron,2/85/90,1,Fruits & Légumes,poivron
92,136,Tomate,2/85/90,1,Fruits & Légumes,tomate
93,141,Tomate cerise,2/85/90/136,1,Fruits & Légumes,tomate cerise
94,144,Betterave,2/85/92,1,Fruits & Légumes,betterave
95,145,Carotte,2/85/92,1,Fruits & Légumes,carotte
96,122,Iceberg,2/85/89/114,1,Fruits & Légumes,iceberg
97,147,Crosne,2/85/92,1,Fruits & Légumes,crosne
98,125,Romaine,2/85/89/114,1,Fruits & Légumes,romaine
99,150,Igname,2/85/92,1,Fruits & Légumes,igname
100,148,Navet,2/85/92,1,Fruits & Légumes,navet
101,149,Panais,2/85/92,1,Fruits & Légumes,panais
102,142,Tomate coeur de boeuf,2/85/90/136,1,Fruits & Légumes,tomate coeur boeuf
103,156,Patate douce,2/85/92,1,Fruits & Légumes,patate douce
104,152,Radis,2/85/92,1,Fruits & Légumes,radis
105,154,Rutabaga,2/85/92,1,Fruits & Légumes,rutabaga
106,155,Salsifi,2/85/92,1,Fruits & Légumes,salsifi
107,163,Champignon de Paris,2/85/161,1,Fruits & Légumes,champignon pari
108,98,Asperge,2/85/91,1,Fruits & Légumes,asperge
109,101,Fenouil,2/85/91,1,Fruits & Légumes,fenouil
110,102,Poireau,2/85/91,1,Fruits & Légumes,poireau
111,284,Poivre,280/282,6,Épicerie salée,poivre
112,161,Champignons,2/85,1,Fruits & Légumes,champignon
113,165,Cèpes,2/85/161,1,Fruits & Légumes,cepe
